model,horizon,number,value,state,params_batch_size,params_decoder_hidden_size,params_decoder_layers,params_dropout,params_early_stop_patience,params_encoder_n_layers,params_hidden_size,params_input_size,params_lr,params_scaler,duration,params_attn_dropout,params_n_head,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
lstm,3d,51,0.07988156470452334,COMPLETE,32.0,384.0,3.0,0.22580824755671464,43.0,3.0,512.0,48.0,0.0028611574531403807,robust,0 days 00:00:15.192517,,,,,,,,,,,,
lstm,3d,52,0.08196543171155739,COMPLETE,32.0,384.0,3.0,0.22439073702044784,43.0,3.0,512.0,48.0,0.0026013717646292734,robust,0 days 00:00:15.241741,,,,,,,,,,,,
lstm,3d,53,0.08815342135696973,COMPLETE,32.0,384.0,3.0,0.2257670660567852,43.0,3.0,512.0,48.0,0.003115454140307881,robust,0 days 00:00:15.211935,,,,,,,,,,,,
lstm,3d,54,0.08357502255381352,COMPLETE,32.0,384.0,3.0,0.1900499585993105,45.0,3.0,512.0,48.0,0.0024465313654924853,robust,0 days 00:00:15.285193,,,,,,,,,,,,
lstm,3d,55,0.08817712390234818,COMPLETE,32.0,384.0,3.0,0.10322095724366893,45.0,3.0,512.0,48.0,0.0023700281775072395,robust,0 days 00:00:15.330945,,,,,,,,,,,,
lstm,3d,56,0.09330513810632762,COMPLETE,32.0,384.0,3.0,0.1542494288532211,43.0,3.0,384.0,48.0,0.006160752496662107,robust,0 days 00:00:15.183208,,,,,,,,,,,,
lstm,3d,57,0.08217055990357955,COMPLETE,32.0,384.0,3.0,0.18331788679798897,45.0,3.0,512.0,48.0,0.003434164915480415,robust,0 days 00:00:15.164906,,,,,,,,,,,,
lstm,3d,58,0.08363783094913957,COMPLETE,32.0,384.0,3.0,0.18874400265778524,45.0,3.0,512.0,48.0,0.003621429596026287,robust,0 days 00:00:15.222446,,,,,,,,,,,,
lstm,3d,59,0.0895861660891109,COMPLETE,64.0,384.0,3.0,0.17988502665384967,43.0,3.0,512.0,48.0,0.003955046870365211,robust,0 days 00:00:15.223011,,,,,,,,,,,,
lstm,3d,60,0.08071535354411677,COMPLETE,32.0,384.0,3.0,0.15306526894159322,45.0,2.0,512.0,48.0,0.008446802173093074,robust,0 days 00:00:11.653021,,,,,,,,,,,,
lstm,3d,61,0.08066765681873225,COMPLETE,32.0,384.0,3.0,0.1550946235623065,45.0,2.0,512.0,48.0,0.009704334877430247,robust,0 days 00:00:11.687461,,,,,,,,,,,,
lstm,3d,62,0.0839752517362638,COMPLETE,32.0,384.0,3.0,0.11057186117801832,45.0,2.0,512.0,48.0,0.00942805061198408,robust,0 days 00:00:11.669296,,,,,,,,,,,,
lstm,3d,63,0.08934239419814746,COMPLETE,32.0,384.0,3.0,0.1523295629182216,42.0,2.0,512.0,48.0,0.008064809081176743,robust,0 days 00:00:11.629577,,,,,,,,,,,,
lstm,3d,64,0.09107746857605308,COMPLETE,32.0,384.0,3.0,0.23622406318274786,44.0,2.0,512.0,12.0,0.009944403001816817,robust,0 days 00:00:09.125953,,,,,,,,,,,,
lstm,3d,65,0.08630270595517792,COMPLETE,32.0,384.0,3.0,0.16659711211535763,45.0,2.0,512.0,48.0,0.0028641308404357556,robust,0 days 00:00:11.526964,,,,,,,,,,,,
lstm,3d,66,0.08883130517794846,COMPLETE,32.0,64.0,3.0,0.2857063845666621,43.0,2.0,512.0,48.0,0.002243578934913302,robust,0 days 00:00:11.566346,,,,,,,,,,,,
lstm,3d,67,0.08702844446998442,COMPLETE,32.0,384.0,3.0,0.08782896018060422,42.0,2.0,512.0,120.0,0.004802041172167435,robust,0 days 00:00:17.013939,,,,,,,,,,,,
lstm,3d,68,0.08707294704080965,COMPLETE,32.0,384.0,3.0,0.1418557736285701,40.0,2.0,512.0,48.0,0.001236357901490007,robust,0 days 00:00:11.575364,,,,,,,,,,,,
lstm,3d,69,0.08595554201165392,COMPLETE,64.0,384.0,3.0,0.1727569624172323,44.0,3.0,512.0,48.0,0.007424628895312613,robust,0 days 00:00:15.101020,,,,,,,,,,,,
lstm,3d,70,0.10328119009752579,COMPLETE,32.0,384.0,3.0,0.22916411260894698,45.0,3.0,96.0,48.0,0.0003700282897805602,robust,0 days 00:00:08.420768,,,,,,,,,,,,
lstm,3d,71,0.08026947979237292,COMPLETE,32.0,384.0,3.0,0.18917622413006627,45.0,3.0,512.0,48.0,0.003459547662696871,robust,0 days 00:00:15.205075,,,,,,,,,,,,
lstm,3d,72,0.08774151281846815,COMPLETE,32.0,384.0,3.0,0.18511442875841758,43.0,3.0,512.0,48.0,0.004085838406174473,robust,0 days 00:00:15.102243,,,,,,,,,,,,
lstm,3d,73,0.08785275281949748,COMPLETE,32.0,384.0,3.0,0.12685954675011787,45.0,3.0,512.0,48.0,0.0032146796520579196,robust,0 days 00:00:15.193325,,,,,,,,,,,,
